"Source File / Class / Function / Call Stack","INST_RETIRED.ANY","CPU_CLK_UNHALTED.THREAD","CPU_CLK_UNHALTED.REF_TSC","CYCLE_ACTIVITY.STALLS_MEM_ANY","MEM_INST_RETIRED.ALL_LOADS_PS","MEM_INST_RETIRED.ALL_STORES_PS","MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS","CYCLE_ACTIVITY.STALLS_L1D_MISS","CYCLE_ACTIVITY.STALLS_L2_MISS","CYCLE_ACTIVITY.STALLS_L3_MISS","EXE_ACTIVITY.1_PORTS_UTIL","MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS","MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS","MEM_LOAD_RETIRED.FB_HIT_PS","MEM_LOAD_RETIRED.L1_MISS_PS","EXE_ACTIVITY.2_PORTS_UTIL","EXE_ACTIVITY.BOUND_ON_STORES","EXE_ACTIVITY.EXE_BOUND_0_PORTS","FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE","MEM_LOAD_RETIRED.L2_HIT_PS","MEM_LOAD_RETIRED.L3_HIT_PS","MEM_LOAD_RETIRED.L3_MISS_PS","FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE","FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE","FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE","FP_ARITH_INST_RETIRED.SCALAR_DOUBLE","FP_ARITH_INST_RETIRED.SCALAR_SINGLE","IDQ_UOPS_NOT_DELIVERED.CORE","INT_MISC.RECOVERY_CYCLES","L1D_PEND_MISS.FB_FULL","L1D_PEND_MISS.PENDING","OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD","OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD","UOPS_EXECUTED.X87","UOPS_ISSUED.ANY","UOPS_RETIRED.RETIRE_SLOTS","Module","Function (Full)","Source File","Start Address"
"8a5f7e66573cb8ecd024fe1890fe8b7a1c5232f0.c","285220000000","2041428000000","2045252000000","1837982756970","188162644710","7135107025","0","1833602750400","1452972179455","1366462049690","95960143940","0","0","12020018030","15690023535","65630098445","100000150","5820008730","0","13410020115","980001470","1038062280","0","0","203400305100","0","9490014235","69540104310","1960002940","27610041415","4000756001125","31850327775420","2075853113775","0","480530720795","389430584145","[Unknown]","[Unknown]","[Unknown]","0"
" [Unknown]","285220000000","2041428000000","2045252000000","1837982756970","188162644710","7135107025","0","1833602750400","1452972179455","1366462049690","95960143940","0","0","12020018030","15690023535","65630098445","100000150","5820008730","0","13410020115","980001470","1038062280","0","0","203400305100","0","9490014235","69540104310","1960002940","27610041415","4000756001125","31850327775420","2075853113775","0","480530720795","389430584145","[Unknown]","[Unknown]","[Unknown]","0"
"  [Loop at line 71 in Forward$omp$parallel@59]","262184000000","2007672000000","2011372000000","1817052725575","174110723165","5459081885","0","1813662720490","1438572157855","1353182029770","93000139500","0","0","10720016080","15010022515","62080093120","80000120","5070007605","0","12790019185","980001470","1028061680","0","0","199660299490","0","240000360","66260099390","1870002805","26640039960","3943615915415","31377977066895","2041353062025","0","448610672915","358840538260","8a5f7e66573cb8ecd024fe1890fe8b7a1c5232f0.so","[Loop at line 71 in Forward$omp$parallel@59]","8a5f7e66573cb8ecd024fe1890fe8b7a1c5232f0.c","0x5f78"
"  [Loop at line 71 in Forward$omp$parallel@59]","16240000000","20648000000","20824000000","12560018840","10409812285","862012930","0","11850017775","9830014745","9120013680","1590002385","0","0","130000195","180000270","2270003405","0","500000750","0","210000315","0","5250315","0","0","1030001545","0","8000012000","1510002265","20000030","0","19230028845","264800397200","21300031950","0","22840034260","21230031845","8a5f7e66573cb8ecd024fe1890fe8b7a1c5232f0.so","[Loop at line 71 in Forward$omp$parallel@59]","8a5f7e66573cb8ecd024fe1890fe8b7a1c5232f0.c","0x6329"
"  [Loop at line 111 in Forward$omp$parallel@99]","940000000","5688000000","5616000000","4530006795","524015720","12000180","0","4500006750","3850005775","3820005730","270000405","0","0","50000075","30000045","270000405","0","10000015","0","50000075","0","4750285","0","0","600000900","0","0","150000225","0","110000165","14770022155","72110108165","5330007995","0","1350002025","1450002175","8a5f7e66573cb8ecd024fe1890fe8b7a1c5232f0.so","[Loop at line 111 in Forward$omp$parallel@99]","8a5f7e66573cb8ecd024fe1890fe8b7a1c5232f0.c","0x3acd"
"  [Loop at line 67 in Forward$omp$parallel@59]","3992000000","6396000000","6440000000","3700005550","2517075510","609009135","0","3530005295","680001020","290000435","860001290","0","0","1110001665","470000705","750001125","10000015","170000255","0","350000525","0","0","0","0","2080003120","0","410000615","1210001815","70000105","830001245","22740034110","121470182205","6940010410","0","5240007860","4600006900","8a5f7e66573cb8ecd024fe1890fe8b7a1c5232f0.so","[Loop at line 67 in Forward$omp$parallel@59]","8a5f7e66573cb8ecd024fe1890fe8b7a1c5232f0.c","0x5b6f"
"  Forward$omp$parallel@59","1768000000","920000000","832000000","110000165","555016650","183002745","0","40000060","30000045","20000030","240000360","0","0","0","0","230000345","0","70000105","0","10000015","0","0","0","0","0","0","820001230","240000360","0","30000045","290000435","12640018960","850001275","0","2380003570","3240004860","8a5f7e66573cb8ecd024fe1890fe8b7a1c5232f0.so","Forward$omp$parallel@59","8a5f7e66573cb8ecd024fe1890fe8b7a1c5232f0.c","0x54ac"
"  [Loop at line 111 in Forward$omp$parallel@99]","48000000","32000000","48000000","0","25000750","0","0","0","0","0","0","0","0","0","0","20000030","0","0","0","0","0","0","0","0","10000015","0","10000015","20000030","0","0","0","220000330","30000045","0","60000090","40000060","8a5f7e66573cb8ecd024fe1890fe8b7a1c5232f0.so","[Loop at line 111 in Forward$omp$parallel@99]","8a5f7e66573cb8ecd024fe1890fe8b7a1c5232f0.c","0x3ed7"
"  [Loop at line 107 in Forward$omp$parallel@99]","16000000","12000000","28000000","0","11500345","3000045","0","0","10000015","20000030","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000030","0","0","0","0","0","30000045","200000300","20000030","0","10000015","20000030","8a5f7e66573cb8ecd024fe1890fe8b7a1c5232f0.so","[Loop at line 107 in Forward$omp$parallel@99]","8a5f7e66573cb8ecd024fe1890fe8b7a1c5232f0.c","0x367e"
"  [Loop at line 65 in Forward$omp$parallel@59]","12000000","32000000","44000000","30000045","1000030","1000015","0","20000030","0","0","0","0","0","0","0","10000015","0","0","0","0","0","0","0","0","0","0","10000015","150000225","0","0","60000090","630000945","30000045","0","10000015","10000015","8a5f7e66573cb8ecd024fe1890fe8b7a1c5232f0.so","[Loop at line 65 in Forward$omp$parallel@59]","8a5f7e66573cb8ecd024fe1890fe8b7a1c5232f0.c","0x59bf"
