  TIME      FLOPS      OI
44.834821 11.037839 2.474950
44.816846 11.042266 2.474950
44.838037 11.037047 2.474950
44.855365 11.032783 2.474950
44.870262 11.029120 2.474950
44.799252 11.046602 2.474950
44.784324 11.050284 2.474950
44.794429 11.047792 2.474950
44.712699 11.067986 2.474950
44.847541 11.034708 2.474950
44.867276 11.029854 2.474950
44.852756 11.033425 2.474950
44.719049 11.066414 2.474950
44.713368 11.067820 2.474950
44.853507 11.033240 2.474950
44.898311 11.022230 2.474950
44.915218 11.018081 2.474950
44.873584 11.028304 2.474950
44.839972 11.036571 2.474950
44.864779 11.030468 2.474950
44.843862 11.035613 2.474950
44.827860 11.039553 2.474950
44.853495 11.033243 2.474950
44.922372 11.016326 2.474950
44.839510 11.036684 2.474950
44.811260 11.043642 2.474950
44.850856 11.033892 2.474950
44.836300 11.037474 2.474950
44.904568 11.020694 2.474950
44.790587 11.048739 2.474950
44.908633 11.019697 2.474950
44.910559 11.019224 2.474950
44.845698 11.035161 2.474950
44.839966 11.036572 2.474950
44.872689 11.028524 2.474950
44.831795 11.038584 2.474950
44.845716 11.035157 2.474950
44.779199 11.051549 2.474950
44.673632 11.077665 2.474950
44.796044 11.047393 2.474950
44.906287 11.020272 2.474950
44.814251 11.042905 2.474950
44.815472 11.042604 2.474950
44.855283 11.032803 2.474950
44.831659 11.038617 2.474950
44.844716 11.035403 2.474950
44.864766 11.030471 2.474950
44.900407 11.021716 2.474950
44.832881 11.038316 2.474950
44.740117 11.061203 2.474950
44.878577 11.027077 2.474950
44.774454 11.052720 2.474950
44.838539 11.036923 2.474950
44.852744 11.033428 2.474950
44.851286 11.033787 2.474950
44.727539 11.064314 2.474950
44.707503 11.069272 2.474950
44.790068 11.048867 2.474950
44.899929 11.021833 2.474950
44.843073 11.035807 2.474950
44.835014 11.037791 2.474950
44.854675 11.032953 2.474950
44.866411 11.030067 2.474950
44.794740 11.047715 2.474950
44.850324 11.034023 2.474950
44.797750 11.046973 2.474950
44.848656 11.034434 2.474950
44.865657 11.030252 2.474950
44.846847 11.034879 2.474950
44.848074 11.034577 2.474950
44.848273 11.034528 2.474950
44.764065 11.055285 2.474950
44.845493 11.035212 2.474950
44.793760 11.047957 2.474950
44.727486 11.064327 2.474950
44.694473 11.072499 2.474950
44.850911 11.033879 2.474950
44.864186 11.030614 2.474950
44.852055 11.033597 2.474950
44.836927 11.037320 2.474950
44.767541 11.054427 2.474950
44.888784 11.024569 2.474950
44.814772 11.042777 2.474950
44.850887 11.033885 2.474950
44.852459 11.033498 2.474950
44.841540 11.036185 2.474950
44.718222 11.066619 2.474950
44.913616 11.018474 2.474950
44.917995 11.017400 2.474950
44.776724 11.052160 2.474950
44.868575 11.029535 2.474950
44.802809 11.045725 2.474950
44.866861 11.029956 2.474950
44.795934 11.047420 2.474950
44.730529 11.063574 2.474950
44.797595 11.047011 2.474950
44.814538 11.042834 2.474950
44.786258 11.049807 2.474950
44.851158 11.033818 2.474950
44.850690 11.033933 2.474950
44.854708 11.032945 2.474950
