"Source File / Class / Function / Call Stack","INST_RETIRED.ANY","CPU_CLK_UNHALTED.THREAD","CPU_CLK_UNHALTED.REF_TSC","CYCLE_ACTIVITY.STALLS_MEM_ANY","MEM_INST_RETIRED.ALL_LOADS_PS","MEM_INST_RETIRED.ALL_STORES_PS","MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS","CYCLE_ACTIVITY.STALLS_L1D_MISS","CYCLE_ACTIVITY.STALLS_L2_MISS","CYCLE_ACTIVITY.STALLS_L3_MISS","EXE_ACTIVITY.1_PORTS_UTIL","MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS","MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS","MEM_LOAD_RETIRED.FB_HIT_PS","MEM_LOAD_RETIRED.L1_MISS_PS","EXE_ACTIVITY.2_PORTS_UTIL","EXE_ACTIVITY.BOUND_ON_STORES","EXE_ACTIVITY.EXE_BOUND_0_PORTS","FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE","MEM_LOAD_RETIRED.L2_HIT_PS","MEM_LOAD_RETIRED.L3_HIT_PS","MEM_LOAD_RETIRED.L3_MISS_PS","FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE","FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE","FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE","FP_ARITH_INST_RETIRED.SCALAR_DOUBLE","FP_ARITH_INST_RETIRED.SCALAR_SINGLE","IDQ_UOPS_NOT_DELIVERED.CORE","INT_MISC.RECOVERY_CYCLES","L1D_PEND_MISS.FB_FULL","L1D_PEND_MISS.PENDING","OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD","OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD","UOPS_EXECUTED.X87","UOPS_ISSUED.ANY","UOPS_RETIRED.RETIRE_SLOTS","Module","Function (Full)","Source File","Start Address"
"5c90800eab5ba84fcf6f6eef0f1f369fe11df7fd.c","284976000000","2021376000000","2026804000000","1803352705025","187948138275","7109106635","0","1798302697450","1427422141130","1342982014470","96150144225","0","0","12260018390","15840023760","65830098745","100000150","5860008790","0","13660020490","1020001530","1020811245","0","10000015","203610305415","10000015","9510014265","68630102945","1860002790","27800041700","3981675972505","31607727411520","2064423096630","0","478830718245","388250582375","[Unknown]","[Unknown]","[Unknown]","0"
"xmmintrin.h","5492000000","5008000000","4736000000","2330003495","1751052530","1023015345","0","2100003150","1890002835","1290001935","940001410","0","0","1180001770","170000255","650000975","0","80000120","0","50000075","80000120","46002760","790001185","0","0","0","0","430000645","70000105","90000135","23420035130","47730071595","4060006090","0","4670007005","4370006555","[Unknown]","[Unknown]","[Unknown]","0"
"memmove-vec-unaligned-erms.S","1972000000","8944000000","8856000000","5120007680","612518375","341005115","0","3890005835","3070004605","2890004335","520000780","0","0","240000360","40000060","400000600","100000150","180000270","0","20000030","10000015","21751305","0","0","0","0","0","1230001845","90000135","8460012690","48850073275","89570134355","8040012060","0","3780005670","2430003645","[Unknown]","[Unknown]","[Unknown]","0"
"[Unknown]","71560000000","52716000000","51752000000","17140025710","19205076135","6974104610","0","12890019335","9260013890","6780010170","7480011220","0","0","1510002265","1390002085","6720010080","3460005190","1140001710","0","1180001770","110000165","14750885","10000015","0","50000075","0","0","21950032925","710001065","1540002310","37490056235","118170177255","19880029820","10000015","69380104070","68040102060","[Unknown]","[Unknown]","[Unknown]","0"
"lowlevel_strided_loops.c.src","3868000000","3848000000","3680000000","120000180","4500135","775011625","0","90000135","110000165","100000150","100000150","0","0","0","0","100000150","1030001545","180000270","0","0","0","3750225","0","0","0","0","0","180000270","40000060","680001020","40000060","240000360","110000165","0","3690005535","3810005715","[Unknown]","[Unknown]","[Unknown]","0"
"kmp_barrier.cpp","160000000","272000000","272000000","20000030","1532045960","0","0","10000015","0","10000015","0","0","0","0","0","0","0","0","0","0","0","250015","0","0","0","0","0","20000030","0","0","0","50000075","0","0","150000225","50000075","[Unknown]","[Unknown]","[Unknown]","0"
"memmove-vec-unaligned-erms.S","300000000","168000000","152000000","40000060","79502385","58000870","0","30000045","20000030","20000030","20000030","0","0","10000015","0","0","20000030","10000015","0","0","0","250015","0","0","0","0","0","20000030","0","0","20000030","0","0","0","10000015","330000495","[Unknown]","[Unknown]","[Unknown]","0"
"kmp_wait_release.h","16936000000","97012000000","97304000000","4550006825","772523175","614009210","0","100000150","80000120","90000135","3880005820","0","0","10000015","0","3300004950","0","860001290","0","0","0","250015","0","0","0","0","0","5120007680","0","0","30000045","500000750","210000315","0","22500033750","25430038145","[Unknown]","[Unknown]","[Unknown]","0"
"strlen.S","16000000","40000000","20000000","20000030","10000300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","250015","0","0","0","0","0","10000015","0","0","10000015","10000015","10000015","0","20000030","40000060","[Unknown]","[Unknown]","[Unknown]","0"
"loadlocale.c","0","0","0","0","500015","1000015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","[Unknown]","[Unknown]","[Unknown]","0"
