  TIME      FLOPS      OI
25.676097 19.273939 2.474950
25.526438 19.386940 2.474950
25.436854 19.455217 2.474950
25.366474 19.509196 2.474950
25.451313 19.444164 2.474950
25.384698 19.495190 2.474950
25.357734 19.515920 2.474950
25.381554 19.497605 2.474950
25.362145 19.512526 2.474950
25.411459 19.474660 2.474950
25.359513 19.514551 2.474950
25.416764 19.470595 2.474950
25.348263 19.523212 2.474950
25.330182 19.537148 2.474950
25.477388 19.424264 2.474950
25.318860 19.545885 2.474950
25.385576 19.494516 2.474950
25.377945 19.500378 2.474950
25.466938 19.432235 2.474950
25.391029 19.490329 2.474950
25.453173 19.442744 2.474950
25.370875 19.505812 2.474950
25.339670 19.529833 2.474950
25.475703 19.425549 2.474950
25.363429 19.511538 2.474950
25.459061 19.438247 2.474950
25.331098 19.536442 2.474950
25.463539 19.434829 2.474950
25.473204 19.427455 2.474950
25.458616 19.438587 2.474950
25.345750 19.525148 2.474950
25.441131 19.451946 2.474950
25.303808 19.557511 2.474950
25.295954 19.563584 2.474950
25.327378 19.539311 2.474950
25.343245 19.527078 2.474950
25.326960 19.539633 2.474950
25.449656 19.445430 2.474950
25.364169 19.510969 2.474950
25.318130 19.546448 2.474950
25.337595 19.531432 2.474950
25.290544 19.567769 2.474950
25.358811 19.515091 2.474950
25.349393 19.522342 2.474950
25.399014 19.484202 2.474950
25.327785 19.538997 2.474950
25.325235 19.540964 2.474950
25.337049 19.531853 2.474950
25.398814 19.484355 2.474950
25.357153 19.516367 2.474950
25.369627 19.506771 2.474950
25.356500 19.516870 2.474950
25.417697 19.469880 2.474950
25.338485 19.530746 2.474950
25.448165 19.446570 2.474950
25.347830 19.523546 2.474950
25.358315 19.515473 2.474950
25.291212 19.567252 2.474950
25.363536 19.511456 2.474950
25.473939 19.426894 2.474950
25.384269 19.495520 2.474950
25.458538 19.438646 2.474950
25.315142 19.548755 2.474950
25.268014 19.585216 2.474950
25.371131 19.505615 2.474950
25.275869 19.579130 2.474950
25.347466 19.523826 2.474950
25.356052 19.517215 2.474950
25.319124 19.545681 2.474950
25.335580 19.532985 2.474950
25.352430 19.520003 2.474950
25.427153 19.462640 2.474950
25.428177 19.461856 2.474950
25.328999 19.538060 2.474950
25.488605 19.415716 2.474950
25.346717 19.524403 2.474950
25.322124 19.543365 2.474950
25.373742 19.503608 2.474950
25.463553 19.434818 2.474950
25.362565 19.512203 2.474950
25.503026 19.404737 2.474950
25.417509 19.470024 2.474950
25.358928 19.515001 2.474950
25.370424 19.506159 2.474950
25.332220 19.535576 2.474950
25.331797 19.535902 2.474950
25.421711 19.466806 2.474950
25.396193 19.486366 2.474950
25.313076 19.550351 2.474950
25.274711 19.580027 2.474950
25.300401 19.560145 2.474950
25.394722 19.487495 2.474950
25.351268 19.520898 2.474950
25.338466 19.530761 2.474950
25.520444 19.391493 2.474950
25.340364 19.529298 2.474950
25.332428 19.535416 2.474950
25.298155 19.561882 2.474950
25.445710 19.448446 2.474950
25.380487 19.498425 2.474950
25.374353 19.503138 2.474950
